x1 x2  y
0.869108867656  0.5  1.0  
0.732639423733  0.5  1.0  
0.173413842131  0.5  1.0  
0.108523173807  0.5  1.0  
0.659960528121  0.5  1.0  
0.0168716375642  0.5  1.0 
0.137907124802  0.5  1.0  
0.67867902146  0.5  1.0  
0.379896646952  0.5  1.0  
0.61420751547  0.5  1.0  
0.350447208919  0.5  1.0  
0.809108532801  0.5  1.0  
0.440920458478  0.5  1.0  
0.144187695347  0.5  1.0  
0.49427023318  0.5  1.0  
0.226858431907  0.5  1.0  
0.245870722193  0.5  1.0  
0.894571550918  0.5  1.0  
0.0297362348364  0.5  1.0  
0.200565445807  0.5  1.0  
0.536868555627  0.5  1.0  
0.333445875281  0.5  1.0  
0.435248325993  0.5  1.0  
0.569440528753  0.5  1.0 
0.944479169025  0.5  1.0  
0.633586626726  0.5  1.0  
0.901577396121  0.5  1.0  
0.290982571829  0.5  1.0  
0.0712465054526  0.5  1.0 
0.796705368698  0.5  1.0  
0.382483518233  0.5  1.0  
0.924180945375  0.5  1.0  
0.551698792339  0.5  1.0  
0.755609260598  0.5  1.0  
0.0411345920198  0.5  1.0  
0.466840938141  0.5  1.0  
0.685848200129  0.5  1.0  
0.506829778545  0.5  1.0  
0.989046229835  0.5  1.0  
0.966767251352  0.5  1.0  
0.186677536376  0.5  1.0  
0.769004432032  0.5  1.0  
0.274833822377  0.5  1.0  
0.827741092739  0.5  1.0  
0.852236093308  0.5  1.0  
0.301315866902  0.5  1.0  
0.582129218523  0.5  1.0  
0.0839310969104  0.5  1.0  
0.704789983956  0.5  1.0  
0.40324684414  0.5  1.0  
2.0  1.74892838198  0.0  
2.0  1.23278442443  0.0  
2.0  -0.612821015083  0.0  
2.0  0.00485178480387  0.0  
2.0  1.76124392434  0.0  
2.0  -0.136248197661  0.0  
2.0  0.316001563619  0.0  
2.0  0.54148141294  0.0  
2.0  -0.791767247719  0.0  
2.0  1.29758213406  0.0  
2.0  -0.309476720735  0.0  
2.0  0.964105683396  0.0  
1.74892838198  2.0  0.0  
1.23278442443  2.0  0.0  
-0.612821015083  2.0  0.0  
0.00485178480387  2.0  0.0  
1.76124392434  2.0  0.0  
-0.136248197661  2.0  0.0  
0.316001563619  2.0  0.0  
0.54148141294  2.0  0.0  
-0.791767247719  2.0  0.0  
1.29758213406  2.0  0.0  
-0.309476720735  2.0  0.0  
0.964105683396  2.0  0.0  
-1.0  1.74892838198  0.0  
-1.0  1.23278442443  0.0  
-1.0  -0.612821015083  0.0  
-1.0  0.00485178480387  0.0  
-1.0  1.76124392434  0.0  
-1.0  -0.136248197661  0.0  
-1.0  0.316001563619  0.0  
-1.0  0.54148141294  0.0  
-1.0  -0.791767247719  0.0  
-1.0  1.29758213406  0.0  
-1.0  -0.309476720735  0.0  
-1.0  0.964105683396  0.0  
1.74892838198  -1.0  0.0  
1.23278442443  -1.0  0.0  
-0.612821015083  -1.0  0.0  
0.00485178480387  -1.0  0.0  
1.76124392434  -1.0  0.0  
-0.136248197661  -1.0  0.0  
0.316001563619  -1.0  0.0  
0.54148141294  -1.0  0.0  
-0.791767247719  -1.0  0.0  
1.29758213406  -1.0  0.0  
-0.309476720735  -1.0  0.0  
0.964105683396  -1.0  0.0  
